timestamp,X,Y,Z,Rx,Ry,Rz,Vx,Vy,Vz,VRx,VRy,VRz,collided_counts
16018000,0.000000,-0.000000,-0.207173,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076544,-0.000000,0.000000,-0.000000,6
16019000,0.000000,-0.000000,-0.207249,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076635,-0.000000,0.000000,-0.000000,6
16020000,0.000000,-0.000000,-0.207326,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076726,-0.000000,-0.000000,-0.000000,6
16021000,0.000000,-0.000000,-0.207403,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076816,-0.000000,-0.000000,-0.000000,6
16022000,0.000000,-0.000000,-0.207480,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076906,-0.000000,-0.000000,-0.000000,6
16023000,0.000000,-0.000000,-0.207557,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076996,-0.000000,-0.000000,-0.000000,6
16024000,0.000000,-0.000000,-0.207634,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077085,-0.000000,-0.000000,-0.000000,6
16025000,0.000000,-0.000000,-0.207711,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077174,-0.000000,-0.000000,-0.000000,6
16026000,0.000000,-0.000000,-0.207788,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077263,-0.000000,-0.000000,-0.000000,6
16027000,0.000000,-0.000000,-0.207866,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077351,-0.000000,-0.000000,-0.000000,6
16028000,0.000000,-0.000000,-0.207943,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077439,-0.000000,-0.000000,-0.000000,6
16029000,0.000000,-0.000000,-0.208021,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077527,-0.000000,-0.000000,-0.000000,6
16030000,0.000000,-0.000000,-0.208098,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077615,-0.000000,-0.000000,-0.000000,6
16031000,0.000000,-0.000000,-0.208176,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077702,-0.000000,-0.000000,0.000000,6
16032000,0.000000,-0.000000,-0.208254,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077789,-0.000000,-0.000000,0.000000,6
16033000,0.000000,-0.000000,-0.208332,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077875,-0.000000,-0.000000,0.000000,6
16034000,0.000000,-0.000000,-0.208410,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.077961,-0.000000,-0.000000,0.000000,6
16035000,0.000000,-0.000000,-0.208488,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078047,-0.000000,-0.000000,0.000000,6
16036000,0.000000,-0.000000,-0.208566,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078133,-0.000000,-0.000000,0.000000,6
16037000,0.000000,-0.000000,-0.208644,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078218,-0.000000,-0.000000,0.000000,6
16038000,0.000000,-0.000000,-0.208722,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078303,-0.000000,-0.000000,0.000000,6
16039000,0.000000,-0.000000,-0.208801,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078388,-0.000000,-0.000000,0.000000,6
16040000,0.000000,-0.000000,-0.208879,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078472,-0.000000,-0.000000,-0.000000,6
16041000,0.000000,-0.000000,-0.208958,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078556,-0.000000,-0.000000,-0.000000,6
16042000,0.000000,-0.000000,-0.209036,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078640,-0.000000,-0.000000,-0.000000,6
16043000,0.000000,-0.000000,-0.209115,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078723,-0.000000,-0.000000,-0.000000,6
16044000,0.000000,-0.000000,-0.209194,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078806,-0.000000,-0.000000,-0.000000,6
16045000,0.000000,-0.000000,-0.209273,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078889,-0.000000,-0.000000,-0.000000,6
16046000,0.000000,-0.000000,-0.209352,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.078971,-0.000000,-0.000000,-0.000000,6
16047000,0.000000,-0.000000,-0.209431,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079054,-0.000000,-0.000000,-0.000000,6
16048000,0.000000,-0.000000,-0.209510,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079135,-0.000000,-0.000000,-0.000000,6
16049000,0.000000,-0.000000,-0.209589,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079217,-0.000000,-0.000000,-0.000000,6
16050000,0.000000,-0.000000,-0.209669,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079298,-0.000000,-0.000000,-0.000000,6
16051000,0.000000,-0.000000,-0.209748,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079379,-0.000000,-0.000000,-0.000000,6
16052000,0.000000,-0.000000,-0.209827,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079460,-0.000000,-0.000000,-0.000000,6
16053000,0.000000,-0.000000,-0.209907,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079540,-0.000000,-0.000000,-0.000000,6
16054000,0.000000,-0.000000,-0.209987,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079620,-0.000000,-0.000000,0.000000,6
16055000,0.000000,-0.000000,-0.210066,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079700,-0.000000,-0.000000,0.000000,6
